,src,to,weights,weight_rank
144,resp1419,resp2950,0.065,15.0
145,resp1423,resp1559,0.72,1.0
146,resp1429,resp85,0.4,2.0
147,resp1435,resp4812,0.10588235294117647,11.0
148,resp1444,resp3448,0.051428571428571435,19.0
149,resp1446,resp553,0.36,2.0
150,resp1447,resp2659,0.14823529411764708,9.0
151,resp1447,resp2903,0.5929411764705883,1.0
152,resp1449,resp2950,0.3150000000000001,5.0
153,resp1451,resp5130,0.06,1.0
154,resp1453,resp4269,0.5169230769230769,1.0
155,resp1456,resp6098,0.4666666666666666,1.0
156,resp1458,resp4823,0.48,3.0
157,resp1462,resp1814,0.63,1.0
158,resp1472,resp1210,0.18857142857142856,2.0
159,resp1476,resp1376,0.065,10.0
160,resp1477,resp1161,0.05,3.0
161,resp1481,resp2903,0.2025,7.0
162,resp1483,resp169,0.6,2.0
163,resp1487,resp3545,0.18,14.0
164,resp1492,resp4935,0.5634782608695653,3.0
165,resp1496,resp3608,0.5305263157894736,1.0
166,resp150,resp2890,0.35000000000000003,3.0
167,resp1504,resp2475,0.64,3.0
168,resp1506,resp5941,0.48,3.0
169,resp1511,resp3545,0.1,16.0
170,resp1514,resp3608,0.5,4.0
171,resp1519,resp4266,0.03428571428571429,6.0
172,resp1522,resp3756,0.4114285714285714,5.0
173,resp1526,resp608,0.45,1.0
174,resp1529,resp101,0.36,1.0
175,resp1531,resp5584,0.20210526315789476,7.0
176,resp1532,resp4774,0.20571428571428574,9.0
177,resp1534,resp2461,0.4235294117647059,2.0
178,resp1534,resp4571,0.3388235294117647,3.0
179,resp1535,resp3448,0.12,17.0
180,resp1542,resp4571,0.06,16.0
181,resp1553,resp965,0.48,1.0
182,resp1554,resp3823,0.075,1.0
183,resp1560,resp4977,0.108,2.0
184,resp1561,resp2715,0.42,1.0
185,resp1563,resp947,0.28,3.0
186,resp1567,resp4571,0.225,7.0
187,resp1570,resp4049,0.42,3.0
188,resp158,resp5941,0.405,4.0
189,resp1580,resp4774,0.5236363636363637,1.0
190,resp1583,resp5285,0.26666666666666666,3.0
191,resp1587,resp2373,0.36,10.0
192,resp1589,resp1512,0.24,1.0
193,resp1590,resp4013,0.24,1.0
194,resp1603,resp2567,0.15,3.0
195,resp1604,resp1104,0.12,1.0
196,resp1604,resp5873,0.4,1.0
197,resp1605,resp2373,0.15428571428571428,14.0
198,resp1606,resp3458,0.3927272727272727,3.0
199,resp1607,resp2954,0.45,6.0
200,resp1612,resp3193,0.12,3.0
201,resp1616,resp2584,0.5538461538461539,2.0
202,resp162,resp1944,0.27,2.0
203,resp1620,resp4452,0.06666666666666668,6.0
204,resp1621,resp2373,0.08,17.0
205,resp1626,resp608,0.192,3.0
206,resp1628,resp2950,0.4547368421052631,2.0
207,resp163,resp2659,0.4114285714285714,3.0
208,resp1637,resp4261,0.48,1.0
209,resp1638,resp6113,0.095,6.0
210,resp1639,resp2834,0.27,5.0
211,resp1641,resp573,0.27,7.0
212,resp1644,resp1214,0.36,2.0
213,resp1645,resp3259,0.12,9.0
