uid,function,hierarchy,region,operation
resp123,hálózat,TL,nyugati régió,Végrehajtás
resp124,HR,E,központi régió,Végrehajtás
resp125,hálózat,TL,nyugati régió,Végrehajtás
resp126,gazdálkodás,E,országos szintű,Társaságirányítás
resp127,logisztika,E,országos szintű,Végrehajtás
resp128,törzskari,E,országos szintű,Szolgáltatás
resp129,hálózat,MM,központi régió,Végrehajtás
resp130,gazdálkodás,E,országos szintű,Szolgáltatás
resp131,gazdálkodás,E,központi régió,Szolgáltatás
resp132,hálózat,MM,keleti régió,Végrehajtás
resp133,IT,E,országos szintű,Szolgáltatás
resp134,hálózat,TL,központi régió,Végrehajtás
resp135,hálózat,TL,nyugati régió,Végrehajtás
resp136,hálózat,TL,központi régió,Végrehajtás
resp137,logisztika,TL,nyugati régió,Végrehajtás
resp138,HR,E,központi régió,Végrehajtás
resp139,hálózat,TL,központi régió,Végrehajtás
resp140,hálózat,TL,központi régió,Végrehajtás
resp141,hálózat,TL,nyugati régió,Végrehajtás
resp142,gazdálkodás,TL,országos szintű,Társaságirányítás
resp143,logisztika,TL,keleti régió,Végrehajtás
resp144,hálózat,MM,keleti régió,Végrehajtás
resp145,logisztika,E,országos szintű,Üzleti irányítás
resp146,üzlet,E,országos szintű,Végrehajtás
resp147,üzlet,E,országos szintű,Üzleti irányítás
resp148,hálózat,TL,központi régió,Végrehajtás
resp149,üzlet,E,országos szintű,Üzleti irányítás
resp150,logisztika,E,keleti régió,Üzleti irányítás
resp151,hálózat,TL,keleti régió,Végrehajtás
resp152,HR,E,nyugati régió,Végrehajtás
resp153,hálózat,MM,nyugati régió,Végrehajtás
resp154,üzlet,E,országos szintű,Szolgáltatás
resp155,gazdálkodás,E,keleti régió,Végrehajtás
resp156,hálózat,TL,keleti régió,Végrehajtás
resp157,hálózat,TL,nyugati régió,Végrehajtás
resp158,ellenőrzés,E,központi régió,Üzleti irányítás
resp159,üzlet,E,országos szintű,Szolgáltatás
resp160,üzlet,E,országos szintű,Üzleti irányítás
resp161,logisztika,E,országos szintű,Végrehajtás
resp162,hálózat,TL,keleti régió,Végrehajtás
resp163,üzlet,E,országos szintű,Üzleti irányítás
resp164,IT,E,országos szintű,Szolgáltatás
resp165,törzskari,E,országos szintű,Társaságirányítás
resp166,biztonság,E,országos szintű,Szolgáltatás
resp167,gazdálkodás,E,országos szintű,Szolgáltatás
resp168,gazdálkodás,E,országos szintű,Szolgáltatás
resp169,IT,TL,országos szintű,Szolgáltatás
resp170,gazdálkodás,E,országos szintű,Szolgáltatás
resp171,logisztika,E,központi régió,Végrehajtás
resp172,logisztika,E,országos szintű,Végrehajtás
resp173,hálózat,TL,keleti régió,Végrehajtás
resp174,logisztika,E,központi régió,Végrehajtás
resp175,gazdálkodás,E,országos szintű,Szolgáltatás
resp176,gazdálkodás,E,országos szintű,Szolgáltatás
resp177,logisztika,E,országos szintű,Végrehajtás
resp178,IT,E,országos szintű,Szolgáltatás
resp179,üzlet,TL,országos szintű,Végrehajtás
resp180,törzskari,E,országos szintű,Szolgáltatás
resp181,logisztika,E,központi régió,Végrehajtás
resp182,üzlet,E,országos szintű,Végrehajtás
resp183,hálózat,TL,központi régió,Végrehajtás
resp184,üzlet,E,országos szintű,Üzleti irányítás
resp185,IT,E,országos szintű,Szolgáltatás
resp186,logisztika,E,országos szintű,Üzleti irányítás
resp187,hálózat,TL,nyugati régió,Végrehajtás
resp188,üzlet,E,országos szintű,Üzleti irányítás
resp189,hálózat,TL,központi régió,Végrehajtás
resp190,logisztika,E,országos szintű,Végrehajtás
resp191,hálózat,TL,nyugati régió,Végrehajtás
resp192,hálózat,TL,keleti régió,Végrehajtás
resp193,logisztika,E,keleti régió,Üzleti irányítás
resp194,HR,E,országos szintű,Szolgáltatás
resp195,HR,TL,országos szintű,Társaságirányítás
resp196,biztonság,E,országos szintű,Társaságirányítás
resp197,hálózat,TL,központi régió,Végrehajtás
resp198,logisztika,E,keleti régió,Végrehajtás
resp199,HR,E,keleti régió,Szolgáltatás
resp200,logisztika,E,országos szintű,Végrehajtás
resp201,HR,E,nyugati régió,Végrehajtás
resp202,gazdálkodás,E,országos szintű,Szolgáltatás
resp203,üzlet,E,országos szintű,Üzleti irányítás
resp204,hálózat,E,központi régió,Üzleti irányítás
resp205,HR,E,központi régió,Szolgáltatás
resp206,hálózat,MM,keleti régió,Végrehajtás
resp207,hálózat,TL,központi régió,Végrehajtás
resp208,hálózat,E,keleti régió,Üzleti irányítás
resp209,logisztika,E,országos szintű,Végrehajtás
resp210,hálózat,TL,keleti régió,Végrehajtás
resp211,üzlet,E,országos szintű,Üzleti irányítás
resp212,logisztika,E,országos szintű,Végrehajtás
resp213,IT,TL,országos szintű,Szolgáltatás
resp214,gazdálkodás,E,országos szintű,Szolgáltatás
resp215,üzlet,E,országos szintű,Végrehajtás
resp216,hálózat,TL,központi régió,Végrehajtás
resp217,üzlet,E,központi régió,Végrehajtás
resp218,hálózat,TL,keleti régió,Végrehajtás
resp219,logisztika,E,országos szintű,Végrehajtás
resp220,gazdálkodás,E,országos szintű,Szolgáltatás
resp221,hálózat,TL,keleti régió,Végrehajtás
resp222,hálózat,TL,keleti régió,Végrehajtás
resp223,hálózat,TL,központi régió,Végrehajtás
resp224,üzlet,E,országos szintű,Üzleti irányítás
resp225,biztonság,E,országos szintű,Társaságirányítás
resp226,üzlet,E,országos szintű,Üzleti irányítás
resp227,hálózat,E,központi régió,Üzleti irányítás
resp228,üzlet,E,országos szintű,Üzleti irányítás
resp229,HR,E,központi régió,Szolgáltatás
resp230,HR,E,központi régió,Végrehajtás
resp231,üzlet,E,országos szintű,Üzleti irányítás
resp232,üzlet,TL,országos szintű,Üzleti irányítás
resp233,HR,E,központi régió,Szolgáltatás
resp234,hálózat,TL,nyugati régió,Végrehajtás
resp235,logisztika,TL,országos szintű,Végrehajtás
resp236,gazdálkodás,E,keleti régió,Végrehajtás
resp237,HR,E,központi régió,Szolgáltatás
resp238,hálózat,TL,nyugati régió,Végrehajtás
resp239,hálózat,MM,keleti régió,Végrehajtás
resp240,logisztika,E,országos szintű,Végrehajtás
resp241,gazdálkodás,E,keleti régió,Szolgáltatás
resp242,hálózat,TL,központi régió,Végrehajtás
resp243,üzlet,E,országos szintű,Üzleti irányítás
resp244,üzlet,E,országos szintű,Üzleti irányítás
resp245,hálózat,E,keleti régió,Üzleti irányítás
resp246,IT,E,országos szintű,Szolgáltatás
resp247,törzskari,E,országos szintű,Társaságirányítás
resp248,üzlet,E,országos szintű,Végrehajtás
resp249,HR,E,központi régió,Szolgáltatás
resp250,logisztika,E,országos szintű,Végrehajtás
resp251,logisztika,E,központi régió,Végrehajtás
resp252,biztonság,E,országos szintű,Társaságirányítás
resp253,IT,E,nyugati régió,Szolgáltatás
resp254,logisztika,E,országos szintű,Szolgáltatás
resp255,hálózat,TL,nyugati régió,Végrehajtás
resp256,logisztika,E,keleti régió,Végrehajtás
resp257,üzlet,E,országos szintű,Üzleti irányítás
resp258,hálózat,TL,központi régió,Végrehajtás
resp259,logisztika,E,keleti régió,Végrehajtás
resp260,HR,E,keleti régió,Végrehajtás
resp261,IT,E,országos szintű,Szolgáltatás
resp262,IT,E,országos szintű,Szolgáltatás
resp263,hálózat,TL,keleti régió,Végrehajtás
resp264,gazdálkodás,E,országos szintű,Szolgáltatás
resp265,ellenőrzés,E,nyugati régió,Üzleti irányítás
resp266,logisztika,E,országos szintű,Végrehajtás
resp267,hálózat,TL,központi régió,Végrehajtás
resp268,üzlet,E,országos szintű,Üzleti irányítás
resp269,üzlet,E,országos szintű,Üzleti irányítás
resp270,logisztika,E,keleti régió,Végrehajtás
resp271,logisztika,E,nyugati régió,Végrehajtás
resp272,gazdálkodás,E,országos szintű,Szolgáltatás
resp273,hálózat,E,keleti régió,Üzleti irányítás
resp274,IT,E,országos szintű,Szolgáltatás
resp275,gazdálkodás,E,nyugati régió,Szolgáltatás
resp276,üzlet,E,országos szintű,Végrehajtás
resp277,hálózat,MM,keleti régió,Végrehajtás
resp278,hálózat,TL,központi régió,Végrehajtás
resp279,hálózat,TL,keleti régió,Végrehajtás
resp280,hálózat,E,nyugati régió,Üzleti irányítás
resp281,gazdálkodás,E,országos szintű,Társaságirányítás
resp282,üzlet,E,keleti régió,Végrehajtás
resp283,hálózat,MM,keleti régió,Végrehajtás
resp284,hálózat,TL,keleti régió,Végrehajtás
resp285,hálózat,TL,keleti régió,Végrehajtás
resp286,törzskari,E,országos szintű,Szolgáltatás
resp287,HR,E,keleti régió,Végrehajtás
resp288,HR,E,nyugati régió,Szolgáltatás
resp289,hálózat,TL,keleti régió,Végrehajtás
resp290,üzlet,E,országos szintű,Üzleti irányítás
resp291,logisztika,E,országos szintű,Végrehajtás
resp292,hálózat,E,keleti régió,Üzleti irányítás
resp293,logisztika,E,keleti régió,Végrehajtás
resp294,hálózat,TL,nyugati régió,Végrehajtás
resp295,gazdálkodás,E,országos szintű,Társaságirányítás
resp296,üzlet,E,országos szintű,Végrehajtás
resp297,hálózat,TL,központi régió,Végrehajtás
resp298,üzlet,E,országos szintű,Üzleti irányítás
resp299,gazdálkodás,E,központi régió,Végrehajtás
resp300,törzskari,E,országos szintű,Szolgáltatás
resp301,üzlet,E,országos szintű,Üzleti irányítás
resp302,üzlet,E,országos szintű,Végrehajtás
resp303,hálózat,E,keleti régió,Üzleti irányítás
resp304,ellenőrzés,E,nyugati régió,Üzleti irányítás
resp305,logisztika,E,országos szintű,Végrehajtás
resp306,IT,E,országos szintű,Szolgáltatás
resp307,hálózat,TL,keleti régió,Végrehajtás
resp308,gazdálkodás,E,országos szintű,Szolgáltatás
resp309,üzlet,TL,országos szintű,Végrehajtás
resp310,logisztika,E,nyugati régió,Végrehajtás
resp311,ellenőrzés,E,keleti régió,Üzleti irányítás
resp312,üzlet,E,országos szintű,Üzleti irányítás
resp313,logisztika,E,nyugati régió,Végrehajtás
resp314,hálózat,TL,nyugati régió,Végrehajtás
resp315,gazdálkodás,E,országos szintű,Szolgáltatás
resp316,logisztika,E,országos szintű,Végrehajtás
resp317,logisztika,E,keleti régió,Végrehajtás
resp318,üzlet,E,országos szintű,Üzleti irányítás
resp319,HR,E,központi régió,Végrehajtás
resp320,hálózat,TL,keleti régió,Végrehajtás
resp321,HR,E,nyugati régió,Végrehajtás
resp322,üzlet,E,országos szintű,Üzleti irányítás
resp323,hálózat,TL,keleti régió,Végrehajtás
resp324,üzlet,E,országos szintű,Üzleti irányítás
resp325,logisztika,E,országos szintű,Végrehajtás
resp326,hálózat,TL,központi régió,Végrehajtás
resp327,logisztika,E,országos szintű,Végrehajtás
resp328,logisztika,TL,keleti régió,Végrehajtás
resp329,hálózat,TL,központi régió,Végrehajtás
resp330,gazdálkodás,E,országos szintű,Társaságirányítás
resp331,üzlet,E,országos szintű,Üzleti irányítás
resp332,logisztika,E,országos szintű,Végrehajtás
resp333,gazdálkodás,E,országos szintű,Szolgáltatás
resp334,IT,E,országos szintű,Szolgáltatás
resp335,IT,E,országos szintű,Szolgáltatás
resp336,HR,E,központi régió,Szolgáltatás
resp337,logisztika,E,országos szintű,Végrehajtás
resp338,HR,E,nyugati régió,Végrehajtás
resp339,gazdálkodás,E,keleti régió,Szolgáltatás
resp340,üzlet,E,országos szintű,Végrehajtás
resp341,HR,E,központi régió,Szolgáltatás
resp342,HR,E,keleti régió,Végrehajtás
resp343,gazdálkodás,E,országos szintű,Szolgáltatás
resp344,gazdálkodás,E,országos szintű,Társaságirányítás
resp345,törzskari,E,országos szintű,Társaságirányítás
resp346,gazdálkodás,TL,keleti régió,Szolgáltatás
resp347,hálózat,E,központi régió,Üzleti irányítás
resp348,üzlet,E,országos szintű,Végrehajtás
resp349,üzlet,E,országos szintű,Végrehajtás
resp350,IT,E,országos szintű,Szolgáltatás
resp351,logisztika,E,országos szintű,Végrehajtás
resp352,gazdálkodás,E,országos szintű,Társaságirányítás
resp353,logisztika,E,keleti régió,Végrehajtás
resp354,gazdálkodás,E,központi régió,Szolgáltatás
resp355,hálózat,TL,nyugati régió,Végrehajtás
resp356,gazdálkodás,E,keleti régió,Szolgáltatás
resp357,gazdálkodás,E,országos szintű,Társaságirányítás
resp358,hálózat,TL,központi régió,Végrehajtás
resp359,HR,E,nyugati régió,Végrehajtás
resp360,hálózat,TL,keleti régió,Végrehajtás
resp361,HR,E,központi régió,Végrehajtás
resp362,gazdálkodás,E,keleti régió,Szolgáltatás
resp363,HR,E,országos szintű,Társaságirányítás
resp364,üzlet,E,országos szintű,Üzleti irányítás
resp365,HR,E,központi régió,Végrehajtás
resp366,HR,E,keleti régió,Szolgáltatás
resp367,üzlet,E,országos szintű,Üzleti irányítás
resp368,hálózat,TL,központi régió,Végrehajtás
resp369,hálózat,MM,keleti régió,Végrehajtás
resp370,HR,E,országos szintű,Szolgáltatás
resp371,üzlet,E,országos szintű,Végrehajtás
resp372,hálózat,TL,keleti régió,Végrehajtás
resp373,hálózat,MM,nyugati régió,Végrehajtás
resp374,IT,E,országos szintű,Szolgáltatás
resp375,üzlet,E,országos szintű,Társaságirányítás
resp376,üzlet,E,országos szintű,Üzleti irányítás
resp377,biztonság,E,központi régió,Szolgáltatás
resp378,hálózat,E,országos szintű,Üzleti irányítás
resp379,logisztika,E,központi régió,Végrehajtás
resp380,IT,E,országos szintű,Szolgáltatás
resp381,üzlet,E,országos szintű,Végrehajtás
resp382,logisztika,E,országos szintű,Végrehajtás
resp383,törzskari,E,országos szintű,Szolgáltatás
resp384,hálózat,E,központi régió,Üzleti irányítás
resp385,HR,E,országos szintű,Szolgáltatás
resp386,gazdálkodás,E,országos szintű,Társaságirányítás
resp387,ellenőrzés,E,keleti régió,Üzleti irányítás
resp388,üzlet,E,országos szintű,Üzleti irányítás
resp389,HR,E,keleti régió,Végrehajtás
resp390,üzlet,E,országos szintű,Végrehajtás
resp391,logisztika,E,országos szintű,Üzleti irányítás
resp392,logisztika,E,országos szintű,Végrehajtás
resp393,gazdálkodás,E,keleti régió,Végrehajtás
resp394,törzskari,E,országos szintű,Társaságirányítás
resp395,logisztika,E,országos szintű,Végrehajtás
resp396,logisztika,E,országos szintű,Végrehajtás
resp397,üzlet,E,országos szintű,Üzleti irányítás
resp398,üzlet,E,országos szintű,Üzleti irányítás
resp399,gazdálkodás,TL,nyugati régió,Szolgáltatás
resp400,logisztika,E,országos szintű,Végrehajtás
resp401,törzskari,E,országos szintű,Társaságirányítás
resp402,logisztika,E,országos szintű,Végrehajtás
resp403,üzlet,E,keleti régió,Végrehajtás
resp404,IT,E,országos szintű,Szolgáltatás
resp405,üzlet,E,országos szintű,Végrehajtás
resp406,logisztika,E,országos szintű,Végrehajtás
resp407,logisztika,E,országos szintű,Végrehajtás
resp408,logisztika,E,központi régió,Végrehajtás
resp409,hálózat,E,nyugati régió,Üzleti irányítás
resp410,gazdálkodás,TL,országos szintű,Társaságirányítás
resp411,gazdálkodás,E,központi régió,Végrehajtás
resp412,logisztika,E,nyugati régió,Végrehajtás
resp413,hálózat,TL,központi régió,Üzleti irányítás
resp414,hálózat,TL,központi régió,Végrehajtás
resp415,logisztika,MM,országos szintű,Végrehajtás
resp416,logisztika,E,országos szintű,Végrehajtás
resp417,hálózat,TL,központi régió,Végrehajtás
resp418,üzlet,E,országos szintű,Végrehajtás
resp419,IT,E,központi régió,Szolgáltatás
resp420,hálózat,TL,nyugati régió,Végrehajtás
resp421,hálózat,MM,központi régió,Végrehajtás
resp422,üzlet,E,országos szintű,Üzleti irányítás
resp423,hálózat,MM,keleti régió,Végrehajtás
resp424,üzlet,MM,országos szintű,Végrehajtás
resp425,gazdálkodás,E,országos szintű,Szolgáltatás
resp426,hálózat,MM,nyugati régió,Végrehajtás
resp427,üzlet,E,országos szintű,Végrehajtás
resp428,üzlet,E,országos szintű,Végrehajtás
resp429,logisztika,E,keleti régió,Végrehajtás
resp430,logisztika,E,országos szintű,Végrehajtás
resp431,hálózat,TL,nyugati régió,Végrehajtás
resp432,HR,E,központi régió,Végrehajtás
resp433,logisztika,E,nyugati régió,Végrehajtás
resp434,hálózat,TL,központi régió,Végrehajtás
resp435,logisztika,E,országos szintű,Végrehajtás
resp436,hálózat,E,keleti régió,Üzleti irányítás
resp437,IT,E,országos szintű,Szolgáltatás
resp438,gazdálkodás,E,országos szintű,Szolgáltatás
resp439,logisztika,E,keleti régió,Üzleti irányítás
resp440,logisztika,E,országos szintű,Végrehajtás
resp441,logisztika,E,nyugati régió,Üzleti irányítás
resp442,hálózat,TL,keleti régió,Végrehajtás
resp443,logisztika,E,országos szintű,Végrehajtás
resp444,gazdálkodás,E,keleti régió,Szolgáltatás
resp445,gazdálkodás,E,keleti régió,Szolgáltatás
resp446,logisztika,E,országos szintű,Végrehajtás
resp447,logisztika,E,nyugati régió,Végrehajtás
resp448,üzlet,TL,országos szintű,Üzleti irányítás
resp449,ellenőrzés,E,keleti régió,Üzleti irányítás
resp450,logisztika,E,országos szintű,Végrehajtás
resp451,hálózat,MM,keleti régió,Végrehajtás
resp452,logisztika,E,országos szintű,Végrehajtás
resp453,logisztika,E,országos szintű,Végrehajtás
resp454,hálózat,TL,keleti régió,Végrehajtás
resp455,gazdálkodás,E,keleti régió,Végrehajtás
resp456,hálózat,TL,nyugati régió,Végrehajtás
resp457,hálózat,TL,nyugati régió,Végrehajtás
resp458,IT,E,országos szintű,Szolgáltatás
resp459,biztonság,E,országos szintű,Társaságirányítás
resp460,ellenőrzés,TL,országos szintű,Társaságirányítás
resp461,hálózat,E,keleti régió,Üzleti irányítás
resp462,hálózat,TL,központi régió,Végrehajtás
resp463,logisztika,E,országos szintű,Végrehajtás
resp464,gazdálkodás,E,nyugati régió,Végrehajtás
resp465,hálózat,TL,központi régió,Végrehajtás
resp466,hálózat,MM,központi régió,Végrehajtás
resp467,logisztika,E,országos szintű,Végrehajtás
resp468,logisztika,E,országos szintű,Végrehajtás
resp469,üzlet,MM,országos szintű,Üzleti irányítás
resp470,logisztika,E,országos szintű,Végrehajtás
resp471,ellenőrzés,E,keleti régió,Üzleti irányítás
resp472,hálózat,TL,keleti régió,Végrehajtás
resp473,hálózat,MM,keleti régió,Végrehajtás
resp474,hálózat,MM,nyugati régió,Végrehajtás
resp475,biztonság,E,országos szintű,Társaságirányítás
resp476,logisztika,E,keleti régió,Végrehajtás
resp477,gazdálkodás,E,országos szintű,Szolgáltatás
resp478,törzskari,E,országos szintű,Társaságirányítás
resp479,logisztika,E,országos szintű,Végrehajtás
resp480,hálózat,TL,nyugati régió,Végrehajtás
resp481,hálózat,TL,központi régió,Végrehajtás
resp482,üzlet,E,országos szintű,Üzleti irányítás
resp483,üzlet,E,országos szintű,Üzleti irányítás
resp484,üzlet,E,országos szintű,Üzleti irányítás
resp485,törzskari,E,országos szintű,Szolgáltatás
resp486,HR,E,országos szintű,Társaságirányítás
resp487,logisztika,E,országos szintű,Végrehajtás
resp488,HR,TL,nyugati régió,Szolgáltatás
