,index,src,to,to_hierarchy,src_hierarchy,clocent,weights,clo_rank,weight_rank,optimal
309,412,resp1967,resp35,MM,TL,0.7059646778151063,0.384,9.0,5.0,False
310,414,resp197,resp6078,MM,TL,0.01568619138543745,0.18,5.0,5.0,True
311,415,resp1971,resp3015,MM,TL,0.6976653184503244,0.3,2.0,2.0,True
312,416,resp1975,resp2834,TL,E,0.7701974264730457,0.09,6.0,10.0,False
313,417,resp1975,resp5788,TL,E,0.7701974264730457,0.27,10.0,6.0,False
314,418,resp1980,resp3614,TL,E,0.5938329734131057,0.72,1.0,1.0,True
315,419,resp1982,resp2543,TL,E,0.7842033875885096,0.23142857142857146,3.0,6.0,False
316,420,resp1984,resp5810,TL,E,0.8050740055805624,0.15750000000000006,2.0,4.0,False
317,421,resp1984,resp5822,TL,E,0.8050740055805624,0.42,5.0,4.0,False
318,422,resp199,resp5484,TL,E,0.7358312083146668,0.3388235294117647,10.0,8.0,False
319,424,resp1993,resp5657,MM,TL,0.7304107490568699,0.13090909090909092,2.0,5.0,False
320,425,resp1995,resp2567,MM,TL,0.7909342256996782,0.36,2.0,1.0,False
321,427,resp1996,resp4049,TL,E,0.7787966470745834,0.5929411764705883,4.0,1.0,False
322,430,resp2001,resp3545,TL,E,0.8390720632486605,0.3,5.0,9.0,False
323,431,resp2010,resp466,MM,TL,0.6906012734928307,0.5647058823529413,4.0,1.0,False
324,432,resp2012,resp5,TL,E,0.8123351914180996,0.3927272727272727,2.0,3.0,False
325,434,resp2021,resp169,TL,E,0.7809486339983722,0.09,4.0,10.0,False
326,435,resp2022,resp3796,MM,TL,0.704673365472695,0.3085714285714285,1.0,1.0,True
327,436,resp2023,resp28,TL,E,0.6380835207924843,0.16615384615384615,1.0,1.0,True
328,438,resp2025,resp4935,TL,E,0.8529484784731015,0.225,5.0,16.0,False
329,439,resp2027,resp4657,TL,E,0.7815816443821023,0.36,4.0,2.0,False
330,440,resp2029,resp5657,MM,TL,0.7075069755684027,0.2475,5.0,2.0,False
331,441,resp2029,resp96,MM,TL,0.7075069755684027,0.055000000000000014,4.0,3.0,False
332,442,resp203,resp3549,TL,E,0.8585633931516765,0.07,1.0,6.0,False
333,445,resp2034,resp1170,TL,E,0.8262153138924311,0.5,10.0,4.0,False
334,446,resp2039,resp5617,MM,TL,0.8357778936228946,0.5538461538461539,2.0,2.0,True
335,447,resp2043,resp5850,TL,E,0.7767668970111278,0.21600000000000005,4.0,2.0,False
336,448,resp2045,resp793,MM,TL,0.6920499933618643,0.16434782608695653,1.0,2.0,False
337,451,resp2048,resp3545,TL,E,0.8198105440172959,0.18,9.0,14.0,False
338,452,resp205,resp2373,TL,E,0.7589643405697671,0.5236363636363637,13.0,4.0,False
339,453,resp2055,resp2249,TM,TM,0.7619630840712979,0.5236363636363636,2.0,3.0,False
340,456,resp206,resp4571,TM,MM,0.9058417234541243,0.045,5.0,21.0,False
341,459,resp2068,resp3545,TL,E,0.9211121503498444,0.195,1.0,13.0,False
342,461,resp2074,resp11,MM,TL,0.8218245175787541,0.06857142857142857,2.0,12.0,False
343,462,resp2079,resp309,TL,E,0.6557876409950794,0.06545454545454546,1.0,2.0,False
344,464,resp2089,resp5153,MM,TL,0.7959828812744997,0.5333333333333333,3.0,3.0,True
345,465,resp2090,resp6098,TL,E,0.7787596478514813,0.27,4.0,5.0,False
346,466,resp2091,resp3520,TL,E,0.7936147096405631,0.48,4.0,2.0,False
347,468,resp2092,resp4923,TL,E,0.7361947286277657,0.5236363636363637,6.0,1.0,False
348,469,resp2095,resp2066,TL,E,0.8141507811476025,0.2571428571428571,2.0,4.0,False
349,471,resp2104,resp2885,TL,E,0.6599610205179898,0.64,4.0,1.0,False
350,472,resp2120,resp3545,TL,E,0.8239312303405796,0.66,8.0,1.0,False
351,473,resp2121,resp514,TL,E,0.7762151637288488,0.36,8.0,1.0,False
352,474,resp2124,resp742,TL,E,0.8591924102380822,0.12,1.0,5.0,False
353,475,resp2125,resp742,TL,E,0.7230750695909057,0.12,6.0,5.0,False
354,476,resp2129,resp750,TL,E,0.7933842421773307,0.084,1.0,2.0,False
355,477,resp2131,resp3989,TM,MM,0.8212069449238931,0.075,9.0,4.0,False
356,478,resp2133,resp5,TL,E,0.8008653423698374,0.06,3.0,6.0,False
357,480,resp2135,resp3756,TL,E,0.6448413483323602,0.6260869565217391,7.0,3.0,False
358,481,resp2140,resp2373,TL,E,0.7607218680563927,0.3490909090909091,11.0,11.0,True
359,482,resp2141,resp399,TL,E,0.7498335770379136,0.5333333333333333,2.0,1.0,False
360,484,resp2144,resp4914,TL,E,0.8307965133097299,0.24,3.0,4.0,False
361,486,resp2149,resp4935,TL,E,0.7859285528899568,0.48,16.0,6.0,False
362,487,resp2152,resp4169,TL,E,0.8491122417832597,0.17052631578947364,6.0,4.0,False
363,488,resp2154,resp553,TL,E,0.6863506187508198,0.06,6.0,7.0,False
364,490,resp2161,resp1071,TL,E,0.817561687163383,0.24,2.0,2.0,True
365,492,resp2164,resp4761,MM,TL,0.7682897825848433,0.12,2.0,4.0,False
366,493,resp2170,resp4809,TL,E,0.8564004585021633,0.4114285714285714,3.0,3.0,True
367,494,resp2173,resp96,MM,TL,0.7529952195578569,0.055000000000000014,3.0,3.0,True
368,496,resp2176,resp4789,TL,E,0.8338222609301505,0.2925,3.0,4.0,False
369,497,resp2178,resp4495,TL,E,0.8431397573686963,0.6,1.0,1.0,True
370,498,resp2178,resp4724,TL,E,0.8431397573686963,0.05,1.0,2.0,False
371,499,resp2178,resp4914,TL,E,0.8431397573686963,0.15,2.0,5.0,False
372,500,resp2181,resp5977,TL,E,0.7897529306044435,0.18,2.0,3.0,False
373,501,resp2182,resp2954,TL,E,0.7520352262983819,0.4547368421052632,15.0,5.0,False
374,504,resp2191,resp848,TL,E,0.7912778445465259,0.06,5.0,4.0,False
375,505,resp2194,resp2865,MM,TL,0.8332959289302426,0.6,1.0,1.0,True
376,506,resp2194,resp96,MM,TL,0.8332959289302426,0.05,2.0,4.0,False
377,507,resp2196,resp5941,TL,E,0.7775187681542468,0.2475,2.0,8.0,False
378,510,resp2204,resp2562,TL,E,0.6713951188869888,0.225,12.0,5.0,False
379,512,resp2209,resp5871,TL,E,0.693465896494794,0.54,2.0,1.0,False
380,514,resp2219,resp1224,TL,E,0.8623987192140209,0.08,1.0,4.0,False
381,515,resp2219,resp1385,TL,E,0.8623987192140209,0.7999999999999999,2.0,1.0,False
382,517,resp2220,resp3192,MM,TL,0.7955744858139835,0.4430769230769231,1.0,1.0,True
383,518,resp2222,resp2834,TL,E,0.7725932897028718,0.48,5.0,3.0,False
384,519,resp2236,resp4374,MM,TL,0.7668824246842494,0.64,1.0,1.0,True
385,520,resp2237,resp3520,TL,E,0.8640615585697028,0.3657142857142857,1.0,4.0,False
386,521,resp2238,resp143,TL,E,0.7696555094096852,0.12,3.0,3.0,True
387,522,resp2239,resp1944,MM,TL,0.7839628779063098,0.048,6.0,7.0,False
388,523,resp2242,resp3520,TL,E,0.7429347275029836,0.03428571428571429,9.0,9.0,True
389,524,resp2244,resp819,MM,TL,0.782747951899748,0.3,2.0,3.0,False
390,525,resp225,resp2264,TL,E,0.8355648806007662,0.3428571428571429,3.0,2.0,False
391,527,resp2253,resp848,TL,E,0.8108484283550569,0.15428571428571428,3.0,2.0,False
392,528,resp2269,resp346,TL,E,0.7077157338582951,0.54,5.0,3.0,False
393,529,resp2275,resp328,TL,E,0.7725932897028718,0.18,2.0,1.0,False
394,530,resp2279,resp2659,TL,E,0.6928196038726048,0.5760000000000001,8.0,1.0,False
395,532,resp2285,resp2072,TL,E,0.847575585709712,0.72,3.0,1.0,False
396,533,resp2288,resp3608,TL,E,0.7181721832976159,0.5142857142857142,8.0,2.0,False
397,536,resp2294,resp3,TL,E,0.7259249735452739,0.375,4.0,3.0,False
398,538,resp2300,resp2461,TM,MM,0.8522466376014263,0.4400000000000001,2.0,1.0,False
399,539,resp2300,resp3989,TM,MM,0.8522466376014263,0.055000000000000014,4.0,7.0,False
400,542,resp2312,resp2072,TL,E,0.7651998799190473,0.36,6.0,3.0,False
401,543,resp2318,resp1379,TL,E,0.8132219794741021,0.17052631578947364,1.0,3.0,False
402,544,resp2318,resp2562,TL,E,0.8132219794741021,0.17052631578947364,5.0,7.0,False
403,545,resp2319,resp3159,TL,E,0.8081699860782838,0.2290909090909091,4.0,5.0,False
404,546,resp2322,resp3006,MM,TL,0.8734540324839255,0.42,1.0,2.0,False
405,547,resp2322,resp5153,MM,TL,0.8734540324839255,0.42,2.0,4.0,False
406,548,resp2326,resp2378,TL,E,0.7224099336416152,0.5760000000000001,6.0,2.0,False
407,549,resp2328,resp2950,TL,E,0.8085686295874233,0.45,8.0,3.0,False
408,550,resp2328,resp5584,TL,E,0.8085686295874233,0.045,1.0,9.0,False
409,552,resp2330,resp2681,TL,E,0.7905501346264284,0.15,1.0,3.0,False
410,553,resp2333,resp3447,TM,TM,0.8631970420024135,0.135,3.0,3.0,True
411,554,resp2335,resp4935,TL,E,0.785203868680468,0.15,17.0,20.0,False
412,555,resp2336,resp488,TL,E,0.7936917609610127,0.0675,2.0,11.0,False
413,557,resp2343,resp1841,MM,TL,0.7427664066167852,0.4430769230769231,3.0,1.0,False
414,558,resp2343,resp3194,MM,TL,0.7427664066167852,0.05538461538461538,1.0,4.0,False
415,559,resp2343,resp3752,MM,TL,0.7427664066167852,0.05538461538461538,4.0,6.0,False
416,560,resp2344,resp4643,TL,E,0.8014824628488603,0.12,12.0,8.0,False
417,561,resp2345,resp2159,MM,TL,0.6656275386102526,0.36,1.0,1.0,True
418,562,resp2346,resp1908,TL,E,0.6964477647710927,0.06,10.0,8.0,False
419,563,resp2348,resp346,TL,E,0.6784252887851101,0.14400000000000002,6.0,8.0,False
420,564,resp235,resp3356,MM,TL,0.8363176581906322,0.045,5.0,4.0,False
421,565,resp2350,resp2834,TL,E,0.7854389950946733,0.08,2.0,11.0,False
422,566,resp2360,resp3797,TL,E,0.8258822968372548,0.6646153846153846,1.0,1.0,True
423,567,resp2364,resp4169,TL,E,0.7604156476808862,0.051428571428571435,17.0,11.0,False
424,568,resp2366,resp5657,MM,TL,0.6912941899443558,0.11076923076923076,6.0,7.0,False
425,570,resp238,resp819,MM,TL,0.7923206845888211,0.4114285714285714,1.0,2.0,False
426,571,resp2383,resp2128,TL,E,0.777971368803995,0.252,5.0,6.0,False
427,572,resp2386,resp2804,TL,E,0.794691997266972,0.42,2.0,1.0,False
428,573,resp2389,resp965,MM,TL,0.8479263308310486,0.135,5.0,5.0,True
429,574,resp2390,resp4275,MM,TL,0.6824413321297658,0.12461538461538466,1.0,1.0,True
430,575,resp2394,resp3756,TL,E,0.6407356614600395,0.3692307692307692,9.0,6.0,False
431,576,resp2403,resp4308,TL,E,0.8466562588516002,0.72,1.0,1.0,True
432,577,resp2403,resp4643,TL,E,0.8466562588516002,0.06,5.0,11.0,False
433,579,resp2407,resp4483,TL,E,0.6732388328612111,0.4363636363636363,3.0,2.0,False
434,580,resp2408,resp5727,MM,TL,0.7643532480092882,0.4114285714285714,7.0,3.0,False
435,581,resp241,resp5535,TL,E,0.7707406351150005,0.05,4.0,7.0,False
436,582,resp2410,resp2545,MM,TL,0.8624249922463214,0.4114285714285714,1.0,1.0,True
437,583,resp2416,resp5484,TL,E,0.7616090613588176,0.3490909090909091,7.0,7.0,True
438,584,resp2417,resp2475,TL,E,0.8127379556559983,0.4,7.0,4.0,False
439,585,resp2419,resp4704,TL,E,0.7198281296627819,0.135,3.0,3.0,True
440,586,resp242,resp5657,MM,TL,0.007843095692718726,0.12,8.0,6.0,False
441,587,resp2420,resp1723,MM,TL,0.86745927463531,0.10956521739130436,4.0,5.0,False
442,588,resp2420,resp6026,MM,TL,0.86745927463531,0.4382608695652174,1.0,1.0,True
443,589,resp2421,resp4759,TL,E,0.8106880231268957,0.4114285714285714,1.0,2.0,False
444,590,resp2422,resp6078,MM,TL,0.6775520265634188,0.2290909090909091,1.0,3.0,False
445,591,resp2423,resp328,TL,E,0.8146363098909568,0.07200000000000001,1.0,2.0,False
446,593,resp2427,resp1804,TL,E,0.9571106238201125,0.07,1.0,1.0,True
447,596,resp2435,resp2475,TL,E,0.8619714901207252,0.045,4.0,9.0,False
448,598,resp2438,resp2373,TL,E,0.7918129566044745,0.48,4.0,5.0,False
449,600,resp244,resp4049,TL,E,0.8479263308310486,0.48,2.0,2.0,True
450,601,resp2440,resp4800,TL,E,0.007843095692718726,0.3927272727272727,3.0,1.0,False
451,602,resp2443,resp6119,MM,TL,0.7636161043291463,0.27,1.0,1.0,True
452,603,resp2447,resp3356,MM,TL,0.8739185483174273,0.4,2.0,3.0,False
453,604,resp245,resp2039,TL,E,0.7847997236379486,0.26181818181818184,8.0,5.0,False
454,605,resp2450,resp1908,TL,E,0.7780393759241462,0.27,2.0,4.0,False
455,606,resp2454,resp5130,MM,TL,0.7970103480150645,0.06,1.0,1.0,True
456,607,resp246,resp1908,TL,E,0.7592191402752425,0.09,6.0,6.0,True
457,610,resp2462,resp2950,TL,E,0.7316927120307919,0.06461538461538463,15.0,16.0,False
458,611,resp2468,resp4169,TL,E,0.8264652529810342,0.04,10.0,13.0,False
459,612,resp2469,resp2562,TL,E,0.8379568463156032,0.18,3.0,6.0,False
460,613,resp2469,resp4809,TL,E,0.8379568463156032,0.06,4.0,6.0,False
461,614,resp2475,resp689,MM,TL,0.8821025575862794,0.065,1.0,4.0,False
462,616,resp2480,resp1723,MM,TL,0.9152491249372324,0.37894736842105264,1.0,1.0,True
463,618,resp2481,resp1259,TL,E,0.9696032075964647,0.195,1.0,1.0,True
464,619,resp2483,resp399,TL,E,0.7498678786654085,0.4235294117647059,1.0,2.0,False
465,621,resp2490,resp2072,TL,E,0.7217061518789165,0.24,8.0,5.0,False
466,622,resp2492,resp5731,TL,E,0.7458757713803446,0.4,11.0,3.0,False
467,623,resp2494,resp5298,TL,E,0.6607230780811908,0.32,3.0,6.0,False
468,624,resp2498,resp2903,TL,E,0.5653722458157122,0.54,8.0,2.0,False
469,625,resp2500,resp4881,MM,TL,0.6839013393882478,0.32,2.0,2.0,True
470,627,resp2501,resp5941,TL,E,0.7924254001559426,0.5,1.0,2.0,False
471,628,resp2502,resp5727,MM,TL,0.7690782046349182,0.18,6.0,6.0,True
472,629,resp2507,resp5822,TL,E,0.8176024653412055,0.4266666666666665,3.0,3.0,True
473,630,resp2509,resp206,MM,TL,0.8969691834542178,0.4,1.0,2.0,False
474,632,resp2510,resp3414,MM,TL,0.7057130126931183,0.5236363636363636,4.0,2.0,False
475,633,resp2513,resp5944,MM,TL,0.7403175787022775,0.18,5.0,6.0,False
476,634,resp2514,resp4704,TL,E,0.7750194705466543,0.28,1.0,2.0,False
477,636,resp2522,resp3608,TL,E,0.7395827390193932,0.18,3.0,8.0,False
478,637,resp2530,resp2039,TL,E,0.8365309096436586,0.075,1.0,9.0,False
479,639,resp2533,resp1224,TL,E,0.7812747491697991,0.27,3.0,2.0,False
480,640,resp2535,resp2378,TL,E,0.8642437827608916,0.312,1.0,6.0,False
481,641,resp254,resp4230,TL,E,0.7837865462190796,0.07058823529411766,3.0,7.0,False
482,643,resp2541,resp4169,TL,E,0.8198105440172959,0.18,12.0,3.0,False
483,644,resp2543,resp2339,MM,TL,0.8507427770202319,0.48,1.0,2.0,False
484,645,resp2543,resp3365,MM,TL,0.8507427770202319,0.06,1.0,2.0,False
485,646,resp2543,resp96,MM,TL,0.8507427770202319,0.48,1.0,1.0,True
486,648,resp2552,resp4326,TL,E,0.7970657459463337,0.13714285714285715,3.0,5.0,False
487,649,resp2552,resp5788,TL,E,0.7970657459463337,0.4571428571428571,7.0,3.0,False
488,650,resp2555,resp1376,TM,MM,0.7956919534379913,0.07,8.0,9.0,False
489,651,resp2559,resp3448,TL,E,0.8060637208706645,0.04,3.0,20.0,False
490,652,resp2559,resp6113,TL,E,0.8060637208706645,0.48,5.0,2.0,False
491,654,resp2563,resp5523,TL,E,0.8808227741873096,0.45,1.0,3.0,False
492,655,resp2566,resp2378,TL,E,0.8161054402866025,0.5142857142857142,3.0,4.0,False
493,660,resp2578,resp4214,TL,E,0.7101070796926803,0.162,9.0,10.0,False
494,661,resp2580,resp5913,TL,E,0.7586833207269199,0.384,7.0,5.0,False
495,662,resp2581,resp5484,TL,E,0.7738698813910788,0.35000000000000003,5.0,6.0,False
496,663,resp2582,resp4812,TL,E,0.7325350362396604,0.16363636363636366,13.0,9.0,False
497,664,resp2585,resp1075,TL,E,0.0026143652309062416,0.18,1.0,1.0,True
498,665,resp2592,resp232,TL,E,0.7399685667073647,0.056,7.0,15.0,False
499,666,resp2593,resp2378,TL,E,0.7100763191520828,0.12,8.0,9.0,False
500,667,resp2595,resp6103,MM,TL,0.709768860256585,0.4,1.0,1.0,True
501,668,resp2597,resp2595,TL,E,0.712834865023475,0.3054545454545454,1.0,1.0,True
502,669,resp2597,resp3366,TL,E,0.712834865023475,0.11454545454545452,1.0,1.0,True
503,670,resp2599,resp4045,MM,TL,0.005228730461812483,0.12,1.0,1.0,True
504,674,resp2608,resp2017,TL,E,0.8191275612929166,0.06352941176470588,1.0,5.0,False
505,675,resp2611,resp5730,MM,TL,0.7914176659349793,0.5142857142857142,1.0,1.0,True
506,676,resp2613,resp2128,TL,E,0.6715051340635709,0.12,11.0,9.0,False
507,678,resp2630,resp5657,MM,TL,0.711713858850995,0.15,4.0,4.0,True
508,679,resp2633,resp3031,TL,E,0.7249287357922479,0.1,1.0,1.0,True
509,680,resp2637,resp5787,TL,E,0.6677575292335763,0.3333333333333333,2.0,3.0,False
510,681,resp2639,resp2562,TL,E,0.6713401248157362,0.06,13.0,12.0,False
511,683,resp2644,resp5481,TL,E,0.7780942624780858,0.5,4.0,4.0,True
512,684,resp2646,resp5913,TL,E,0.7583674220506977,0.12,8.0,10.0,False
513,685,resp2647,resp5535,TL,E,0.8034561233029033,0.14727272727272725,2.0,5.0,False
514,686,resp2649,resp3989,TM,MM,0.8596209464379796,0.07428571428571427,3.0,5.0,False
515,687,resp265,resp3921,TL,E,0.6878193952511678,0.48,5.0,2.0,False
516,688,resp2653,resp4657,TL,E,0.8366310329008232,0.07384615384615384,1.0,5.0,False
517,689,resp2655,resp426,MM,TL,0.7968941092671771,0.4235294117647059,2.0,2.0,True
518,690,resp2655,resp5200,MM,TL,0.7968941092671771,0.03529411764705883,3.0,4.0,False
519,691,resp2661,resp1814,TL,E,0.7989916078975351,0.19384615384615386,2.0,2.0,True
520,694,resp2673,resp1476,MM,TL,0.7096464859268938,0.12,2.0,2.0,True
521,695,resp2681,resp1841,MM,TL,0.7136002711081725,0.052173913043478265,4.0,6.0,False
522,696,resp2681,resp3194,MM,TL,0.7136002711081725,0.5217391304347827,3.0,3.0,True
523,697,resp2681,resp3752,MM,TL,0.7136002711081725,0.4173913043478261,6.0,4.0,False
524,698,resp2688,resp2950,TL,E,0.776619691459034,0.225,12.0,7.0,False
525,699,resp2695,resp5200,MM,TL,0.8455216833281528,0.2025,1.0,3.0,False
526,700,resp2699,resp1559,TL,E,0.740534597378442,0.045,8.0,16.0,False
527,703,resp2708,resp2903,TL,E,0.010457460923624966,0.14400000000000002,10.0,9.0,False
528,706,resp2714,resp848,TL,E,0.8693313442737501,0.33,1.0,1.0,True
529,707,resp2715,resp4571,TM,MM,0.8729897768644163,0.12,10.0,12.0,False
530,708,resp2717,resp5123,TL,E,0.6981463523085218,0.5236363636363637,2.0,1.0,False
531,709,resp2718,resp2072,TL,E,0.8598464030437385,0.66,2.0,2.0,True
532,710,resp272,resp2322,TL,E,0.8723848764037164,0.5142857142857142,2.0,1.0,False
533,711,resp2721,resp3834,TL,E,0.7726959188129434,0.36,2.0,2.0,True
534,713,resp2734,resp169,TL,E,0.7373537775010495,0.54,11.0,3.0,False
535,714,resp2735,resp232,TL,E,0.7333293887901324,0.135,12.0,11.0,False
536,715,resp2736,resp3448,TL,E,0.7799824813297408,0.45,12.0,4.0,False
537,716,resp2741,resp4774,TL,E,0.9136167555247926,0.3054545454545454,1.0,7.0,False
538,717,resp2741,resp5731,TL,E,0.9136167555247926,0.03818181818181818,1.0,12.0,False
539,718,resp2742,resp2480,TL,E,0.9038737687997885,0.5142857142857142,1.0,1.0,True
540,720,resp2744,resp4214,TL,E,0.7101993773071283,0.3085714285714285,8.0,6.0,False
541,721,resp275,resp399,TL,E,0.7468272735717267,0.4114285714285714,3.0,3.0,True
542,722,resp2755,resp3448,TL,E,0.7810418914502153,0.21,9.0,13.0,False
543,725,resp2757,resp5588,TL,E,0.6783215705217052,0.16363636363636366,5.0,1.0,False
544,727,resp2780,resp346,TL,E,0.6733809237820249,0.18,9.0,7.0,False
545,729,resp2792,resp232,TL,E,0.7796856843429333,0.672,3.0,1.0,False
546,730,resp2792,resp4823,TL,E,0.7796856843429333,0.056,2.0,6.0,False
547,731,resp2795,resp2834,TL,E,0.743035756657714,0.12,11.0,9.0,False
548,732,resp2797,resp5486,MM,TL,0.7339861114774474,0.4114285714285714,2.0,2.0,True
549,733,resp2798,resp5584,TL,E,0.6967361681313313,0.5142857142857142,6.0,4.0,False
550,734,resp28,resp4298,MM,TL,0.651432760035913,0.18,2.0,4.0,False
551,735,resp2802,resp4417,TL,E,0.8225668319764065,0.48,1.0,2.0,False
552,737,resp2805,resp4643,TL,E,0.8324973894551314,0.1714285714285714,10.0,7.0,False
553,738,resp2808,resp4166,TL,E,0.8586865837774111,0.19285714285714284,3.0,5.0,False
554,739,resp281,resp410,TL,E,0.7341504759775094,0.18,7.0,7.0,True
555,740,resp2813,resp597,MM,TL,0.7352907773406561,0.09,5.0,5.0,True
556,741,resp2814,resp4269,TL,E,0.8237656077001776,0.03428571428571429,4.0,4.0,True
557,742,resp2817,resp5584,TL,E,0.7425186558824767,0.06857142857142857,2.0,8.0,False
558,744,resp2824,resp1545,TM,TM,0.8008653423698374,0.21,2.0,2.0,True
559,746,resp2828,resp2983,TM,MM,0.7469974401943962,0.225,3.0,3.0,True
560,747,resp283,resp4571,TM,MM,0.8122949369487527,0.12,22.0,12.0,False
561,748,resp2830,resp4326,TL,E,0.7105380072659658,0.18,6.0,3.0,False
562,749,resp2833,resp5787,TL,E,0.6677847324571569,0.4547368421052632,1.0,1.0,True
563,750,resp2838,resp91,MM,TL,0.7150945263545709,0.4266666666666665,4.0,1.0,False
564,751,resp2839,resp142,TL,E,0.005228730461812483,0.12,1.0,1.0,True
565,753,resp2840,resp3488,MM,TL,0.7507228060008921,0.43200000000000005,1.0,1.0,True
566,754,resp2848,resp5941,TL,E,0.7644310375521299,0.5008695652173912,3.0,1.0,False
567,755,resp2854,resp6078,MM,TL,0.0026143652309062416,0.24,6.0,2.0,False
568,756,resp2855,resp3448,TL,E,0.7474402365430591,0.3428571428571429,21.0,9.0,False
569,757,resp2864,resp1790,TL,E,0.7909356134089915,0.42,1.0,1.0,True
570,758,resp2864,resp3415,TL,E,0.7909356134089915,0.18899999999999997,1.0,1.0,True
571,759,resp2865,resp1376,TM,MM,0.8113300251250164,0.056,4.0,12.0,False
572,762,resp2875,resp2302,TL,E,0.7423506576346187,0.43200000000000005,3.0,2.0,False
573,763,resp288,resp4935,TL,E,0.7997322450907854,0.768,10.0,1.0,False
574,764,resp2885,resp2816,MM,TL,0.6601204827491073,0.6776470588235295,1.0,1.0,True
575,765,resp2887,resp4494,MM,TL,0.8248735342964899,0.162,1.0,1.0,True
576,766,resp2888,resp2039,TL,E,0.7997468523895792,0.48,4.0,3.0,False
577,767,resp289,resp1358,MM,TL,0.8015702605196006,0.06,1.0,3.0,False
578,768,resp2890,resp1723,MM,TL,0.802905163970701,0.2742857142857143,7.0,3.0,False
579,769,resp2891,resp689,MM,TL,0.7979414801940239,0.324,4.0,3.0,False
580,770,resp2892,resp6113,TL,E,0.808203893535904,0.36,4.0,4.0,True
581,771,resp2893,resp1559,TL,E,0.7476106826427907,0.18,6.0,9.0,False
582,772,resp2896,resp1153,TL,E,0.7672883828749085,0.12,2.0,2.0,True
583,773,resp29,resp2128,TL,E,0.7112779583279454,0.3150000000000001,9.0,5.0,False
584,774,resp2900,resp5944,MM,TL,0.7999418365061166,0.36,2.0,3.0,False
585,776,resp2905,resp2543,TL,E,0.7765685325460581,0.3388235294117647,4.0,4.0,True
586,778,resp2906,resp4308,TL,E,0.7700167652225975,0.4,8.0,4.0,False
587,779,resp2909,resp3545,TL,E,0.8009853553739905,0.2571428571428571,12.0,11.0,False
588,781,resp2913,resp5788,TL,E,0.8470500117623931,0.35100000000000003,2.0,5.0,False
589,783,resp2917,resp742,TL,E,0.8022110650165881,0.3652173913043479,2.0,2.0,True
590,784,resp2919,resp488,TL,E,0.7273433482423108,0.1963636363636364,8.0,8.0,True
591,785,resp292,resp4169,TL,E,0.8932057447485742,0.04,1.0,13.0,False
592,786,resp2927,resp2562,TL,E,0.6986962119102268,0.09,10.0,9.0,False
593,787,resp293,resp4230,TL,E,0.9333852538222202,0.21,1.0,5.0,False
594,789,resp2939,resp346,TL,E,0.6754559496128485,0.036000000000000004,8.0,9.0,False
595,790,resp2940,resp2378,TL,E,0.8235026602120809,0.55,2.0,3.0,False
596,793,resp2947,resp1545,TM,MM,0.742867389994826,0.06,3.0,4.0,False
597,794,resp2947,resp2983,TM,MM,0.742867389994826,0.6,4.0,1.0,False
598,795,resp2952,resp5884,TL,E,0.7624654760674586,0.24,8.0,5.0,False
599,796,resp2958,resp206,MM,TL,0.7969278597825216,0.18,3.0,3.0,True
600,798,resp2962,resp2890,TL,E,0.8187891425349182,0.12,5.0,5.0,True
601,799,resp2963,resp132,MM,TL,0.7267334550899346,0.7854545454545454,7.0,1.0,False
602,800,resp2964,resp4812,TL,E,0.7745280583833789,0.4235294117647059,9.0,4.0,False
603,801,resp2970,resp3159,TL,E,0.7925786591057843,0.27,5.0,4.0,False
604,803,resp2971,resp2963,TL,E,0.6547177822388709,0.12,1.0,1.0,True
605,804,resp2973,resp4801,TL,E,0.6983390204756883,0.051428571428571435,4.0,5.0,False
606,806,resp2977,resp4081,TL,E,0.0026143652309062416,0.12,1.0,1.0,True
607,807,resp2979,resp3752,MM,TL,0.7905942023528438,0.4,2.0,5.0,False
608,808,resp2980,resp2885,TL,E,0.6603287386518853,0.45,2.0,4.0,False
609,809,resp2983,resp1545,TM,TM,0.8317069271716389,0.27,1.0,1.0,True
610,810,resp2987,resp4771,TL,E,0.7934226441251613,0.35000000000000003,3.0,2.0,False
611,811,resp2988,resp1385,TL,E,0.7905909051618516,0.4,3.0,3.0,True
612,812,resp2988,resp1908,TL,E,0.7905909051618516,0.04,1.0,10.0,False
613,813,resp2989,resp4774,TL,E,0.7864941861446038,0.5,11.0,2.0,False
614,814,resp2999,resp5970,TL,E,0.737918061926075,0.048,6.0,9.0,False
615,816,resp3000,resp4771,TL,E,0.854378808903671,0.21,1.0,4.0,False
616,817,resp3003,resp5298,TL,E,0.659907883559816,0.3428571428571429,7.0,5.0,False
617,818,resp3004,resp4008,MM,TL,0.710568807821138,0.3,1.0,1.0,True
618,819,resp3007,resp4771,TL,E,0.7723384766126005,0.07636363636363636,6.0,8.0,False
619,820,resp3008,resp3781,TL,E,0.797475642307265,0.20571428571428574,2.0,3.0,False
620,821,resp3010,resp4801,TL,E,0.7509618673035553,0.3,2.0,1.0,False
621,822,resp3014,resp2322,TL,E,0.8564321749020809,0.4363636363636363,4.0,3.0,False
622,825,resp302,resp1043,TL,E,0.7363933166039782,0.5760000000000001,2.0,1.0,False
623,826,resp302,resp2681,TL,E,0.7363933166039782,0.07200000000000001,3.0,4.0,False
624,829,resp3023,resp3549,TL,E,0.8342466195544724,0.48,2.0,2.0,True
625,830,resp3024,resp4789,TL,E,0.8132218002493342,0.3,4.0,3.0,False
