,index,src,to,to_hierarchy,src_hierarchy,clocent,weights,clo_rank,weight_rank,optimal
70,90,resp1191,resp1170,TL,E,0.927155646358927,0.6,1.0,2.0,False
71,92,resp1192,resp5618,TL,E,0.7412371204880022,0.5485714285714286,6.0,3.0,False
72,94,resp1199,resp1187,TL,E,0.8307795766877416,0.06,1.0,2.0,False
73,95,resp1202,resp1187,TL,E,0.7466571844595896,0.24,2.0,1.0,False
74,96,resp1206,resp5884,TL,E,0.843435105683731,0.5485714285714286,4.0,1.0,False
75,97,resp1208,resp1170,TL,E,0.8980502836588959,0.2541176470588235,4.0,7.0,False
76,99,resp1209,resp2950,TL,E,0.6710927629421858,0.03272727272727273,22.0,22.0,True
77,100,resp1211,resp1153,TL,E,0.7844764569372407,0.2571428571428571,1.0,1.0,True
78,101,resp1212,resp1371,MM,TL,0.6900779585596459,0.24,6.0,4.0,False
79,102,resp1213,resp1477,TL,E,0.7887648844012045,0.56,2.0,2.0,True
80,109,resp1224,resp1161,MM,TL,0.8104475342443306,0.5142857142857142,1.0,2.0,False
81,110,resp1226,resp828,TL,E,0.7663835925940129,0.07200000000000001,6.0,6.0,True
82,111,resp1228,resp793,MM,TL,0.0026143652309062416,0.24,2.0,1.0,False
83,112,resp1229,resp2373,TL,E,0.7065119372552731,0.09,20.0,16.0,False
84,113,resp1235,resp1183,TL,E,0.7254109761307179,0.27,2.0,2.0,True
85,114,resp1239,resp3520,TL,E,0.8039684058867934,0.12,2.0,8.0,False
86,115,resp1241,resp5397,TL,E,0.7358839929738475,0.2842105263157895,1.0,1.0,True
87,117,resp125,resp2649,MM,TL,0.7625718023087175,0.225,3.0,2.0,False
88,118,resp1253,resp3595,TL,E,0.7198362826113575,0.42,4.0,4.0,True
89,119,resp1255,resp4483,TL,E,0.007843095692718726,0.06,5.0,6.0,False
90,120,resp1259,resp4761,MM,TL,0.7463172385551735,0.3375,3.0,2.0,False
91,121,resp126,resp410,TL,E,0.8078911694246343,0.5843478260869566,2.0,3.0,False
92,122,resp1262,resp4657,TL,E,0.7789446791306706,0.384,5.0,1.0,False
93,124,resp1268,resp5788,TL,E,0.7815071193146998,0.15,8.0,10.0,False
94,125,resp1271,resp4789,TL,E,0.7511316229742402,0.135,6.0,8.0,False
95,126,resp1275,resp2567,MM,TL,0.7742293580703343,0.225,3.0,2.0,False
96,127,resp1279,resp5032,TL,E,0.6412484275136761,0.2025,2.0,3.0,False
97,128,resp1282,resp232,TL,E,0.7330670286492478,0.3490909090909091,13.0,4.0,False
98,129,resp1284,resp5343,TL,E,0.742867389994826,0.64,1.0,1.0,True
99,130,resp1288,resp1960,TL,E,0.7198058472768761,0.15750000000000006,3.0,3.0,True
100,131,resp1289,resp2891,TL,E,0.7286678444001525,0.5,2.0,1.0,False
101,132,resp1290,resp844,TL,E,0.805034467519194,0.5538461538461539,1.0,1.0,True
102,133,resp1292,resp4778,MM,TL,0.8052321966707192,0.5142857142857142,1.0,1.0,True
103,134,resp1294,resp297,TL,E,0.7347369752359117,0.4615384615384615,1.0,1.0,True
104,135,resp1294,resp3313,TL,E,0.7347369752359117,0.13846153846153844,1.0,1.0,True
105,136,resp1294,resp3586,TL,E,0.7347369752359117,0.3692307692307692,1.0,1.0,True
106,137,resp1294,resp790,TL,E,0.7347369752359117,0.04615384615384615,1.0,1.0,True
107,138,resp1299,resp2915,MM,TL,0.7351808217889414,0.45,3.0,2.0,False
108,139,resp1305,resp1311,MM,TL,0.7413555166037643,0.3490909090909091,2.0,2.0,True
109,140,resp1306,resp4789,TL,E,0.8004351690817828,0.54,5.0,1.0,False
110,141,resp1307,resp3311,MM,TL,0.8203028488027739,0.6857142857142857,1.0,1.0,True
111,142,resp1310,resp3301,MM,TL,0.7602735202170507,0.1136842105263158,2.0,2.0,True
112,143,resp1314,resp143,TL,E,0.7696555094096852,0.32,3.0,1.0,False
113,144,resp1317,resp3608,TL,E,0.7122415942844406,0.508235294117647,9.0,3.0,False
114,145,resp1319,resp5727,MM,TL,0.7637077968003091,0.24,8.0,5.0,False
115,146,resp1324,resp35,MM,TL,0.7065588400929341,0.13090909090909092,8.0,10.0,False
